categorie;marque;modele;budget;description;image;url_amazon;url_manomano;url_leroy_merlin
Electroportatif;FESTOOL;Visseuse CXS-18;€€;Gymnaste de poche. Puissante là où ton bras ne passe pas.;assets/catalogue/output/festool_cxs18.png;;;https://www.leroymerlin.fr/produits/perceuse-visseuse-18v-solo-en-coffret-cxs-18-basic-festool-576882-88741579.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;FESTOOL;Scie plongeante TSC 55;€€€;Oublie le ponçage. La précision millimétrée, sans le fil.;assets/catalogue/output/festool_tsc55.png;;;https://www.leroymerlin.fr/produits/scie-plongeante-festool-tsc-55-5-0-kebi-plus-xl-2-batteries-18v-5-0ah-lame-de-scie-160-mm-577342-87936321.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;FESTOOL;Planex LH2 225;€€€;Ponce sans étouffer. Finis le plafond sans être un bonhomme de neige.;assets/catalogue/output/festool_planex.png;;;https://www.leroymerlin.fr/produits/ponceuse-a-bras-planex-lhs-2-m-225-eq-577354-festool-89501731.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;FESTOOL;Aspirateur CTM 36;€€€;Avale tout, même ton temps perdu. Garde du corps de tes poumons.;assets/catalogue/output/festool_ctm36.png;;;https://www.leroymerlin.fr/produits/aspirateur-festool-ctm-36-e-574988-83293585.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;FESTOOL;Sauteuse Carvex;€€;Zéro déviation, même en courbe. Ton bras, en version améliorée.;assets/catalogue/output/festool_carvex.png;;;https://www.leroymerlin.fr/produits/scie-sauteuse-sans-fil-festool-carvex-psc-420-ebi-plus-avec-batterie-18v-4-0-ah-et-chargeur-576525-88158164.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;FESTOOL;Visseuse à placo DWC 18-2500;€€€;Vitesse lumière. La mitrailleuse qui ne rate jamais le rail.;assets/catalogue/output/festool_dwc18.png;;;https://www.leroymerlin.fr/produits/visseuse-pour-plaquiste-festool-duradrive-dwc-18-4500-basic-machine-seule-systainer-sys3-m-187-84351067.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Electroportatif;MILWAUKEE;Scie sur table M18 FTS210;€€€;L'atelier dans le coffre. Ne recule devant aucun madrier.;assets/catalogue/output/milwaukee_scie_sur_table.png;https://www.amazon.fr/dp/B07P2NCFFC?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B07P2NCFFC&asc_item-id=amzn1.ideas.3O9QWAIU0TWH9&ref_=aip_sf_list_spv_ons_mixed_d_asin;;
Electroportatif;MILWAUKEE;Scie à onglet radiale M18 FMS305;€€€;"Monstre de précision. Pour ceux qui haïssent le ""à peu près"".";assets/catalogue/output/milwaukee_scie_onglets.png;https://www.amazon.fr/dp/B075GFRZ6F?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B075GFRZ6F&asc_item-id=amzn1.ideas.3O9QWAIU0TWH9&ref_=aip_sf_list_spv_ons_mixed_d_asin;;
Electroportatif;MILWAUKEE;Scie circulaire M18;€€;Instinct animal. Coupe le bois comme s'il n'était pas là.;assets/catalogue/output/milwaukee_scie_circulaire.png;https://www.amazon.fr/dp/B00HZR9SPO?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B00HZR9SPO&asc_item-id=amzn1.ideas.3O9QWAIU0TWH9&ref_=aip_sf_list_spv_ons_mixed_d_asin;;
Electroportatif;MILWAUKEE;Projecteur de chantier;€€€;Le soleil en sous-sol. Parce que bosser dans le noir, c'est nul.;assets/catalogue/output/milwaukee_projecteur.png;https://www.amazon.fr/dp/B09JWFQSDS?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B09JWFQSDS&asc_item-id=amzn1.ideas.3O9QWAIU0TWH9&ref_=aip_sf_list_spv_ons_mixed_d_asin;;
